Galaxy,M_disk_Msun,M_disk_err_Msun,R_theta_kpc,R_theta_err_kpc,chi2_red,n_data,acceptance_rate
NGC6946,214000000000.0,212000000000.0,31.58,11.14,0.754,30,0.314
DDO154,5554535367.173794,1758748552.9110968,58.68775636499538,23.225071611075503,0.9159528735877936,9,0.427921875
UGC5005,6054675501.88609,2167952226.4863467,30.341848961008104,13.282624696854231,1.071802419528335,8,0.447296875
NGC3198,65403585228.139984,8070443702.503464,48.8417965978839,8.534700112928629,1.1508216349005205,9,0.490953125
NGC1560,21587817655.171944,5969656712.895846,43.71258180008984,14.389226479732454,1.203925127204865,8,0.3967968749999999
F568-3,11496480230.233402,3589008518.6129384,43.46193257623148,17.665922101917875,1.4152678730089905,8,0.388515625
NGC2403,56900000000.0,70000000000.0,22.04,9.28,2.321,25,0.326
NGC7793,35800000000.0,51000000000.0,21.33,9.87,2.974,28,0.313
IC2574,1305706362.5640564,3338861510.415022,5.443222504765648,7.81483860283981,3.657591154072892,9,0.308640625
DDO43,2867760515.4227505,6804688443.202305,61.93000808774741,26.319390270345224,7.58918305877906,8,0.272421875
NGC2841,11474125799.865467,5618735113.170835,3.5729164730187284,0.3774502373168547,17.18778573941819,8,0.33009375
Malin1,67491825308.10524,48213276943.96381,70.67825103281724,42.98126410428672,61.21483462761407,7,0.299234375
