Galaxy,chi2_red,n_data,dof,chi2,p_value,sigma
NGC6946,0.754,30,26,19.604,0.8099418447513139,0.24050105595140484
DDO154,0.9159528735877936,9,5,4.579764367938968,0.4692826866010721,0.723646661888807
UGC5005,1.071802419528335,8,4,4.28720967811334,0.36852944714213764,0.8992313460316433
NGC3198,1.1508216349005205,9,5,5.754108174502602,0.3308852386408616,0.9723323427744143
NGC1560,1.203925127204865,8,4,4.81570050881946,0.30673577005932473,1.0220953578880965
F568-3,1.4152678730089905,8,4,5.661071492035962,0.22592977205022757,1.210910332842586
NGC2403,2.321,25,21,48.74100000000001,0.0005445819993055157,3.4578116351686807
NGC7793,2.974,28,24,71.376,1.3505452479689595e-06,4.832167538414923
IC2574,3.657591154072892,9,5,18.28795577036446,0.002606346528305936,3.010713491148682
DDO43,7.58918305877906,8,4,30.35673223511624,4.140511642436451e-06,4.604201631074614
NGC2841,17.18778573941819,8,4,68.75114295767276,4.163336342344337e-14,7.555440738291328
Malin1,61.21483462761407,7,3,183.6445038828422,0.0,0.0
