galaxy,n_data,v_flat,M_disk,M_disk_err,R_disk,R_disk_err,M_bulge,M_bulge_err,R_bulge,R_bulge_err,R_theta,R_theta_err,chi2,dof,chi2_red,p_value,AIC,AICc,BIC,waic,waic_lppd,waic_p,nu,sigma_int,acceptance_rate,total_steps,waic_samples,rhat_min,rhat_median,rhat_max,ess_min,ess_median,ess_max,random_seed,fit_quality,model_variant,likelihood,elapsed_sec
DDO43,8,30.100000,10964849613.954666,8786554089.190203,35.812883,11.733913,690849454.257541,303475306.600101,1.770742,0.465715,74.773055,21.778697,2.390004,3,0.796668,0.495498,47.757915,77.757915,48.155122,41.335786,-19.779800,0.888093,5.000000,2.500000,0.423600,4800,20000,1.021108,1.023830,1.029865,1392.333894,1807.664977,1883.071190,2746663132,excellent,GoE+gas,student_t,16.674033
DDO154,9,44.100000,26670266025.667870,19829067885.199677,36.234246,12.900797,2996256159.801495,808953268.736847,2.878294,0.498219,62.044576,27.850975,8.728070,4,2.182017,0.068268,57.644238,77.644238,58.630361,48.339112,-23.031583,1.137973,5.000000,2.500000,0.397290,7000,20000,1.016464,1.022903,1.029995,1420.106860,1912.179137,2281.273070,2563497448,acceptable,GoE·cos²i(i=66°),student_t,24.036690
Malin1,7,120.200000,64988100292.485191,21286112532.275848,15.817305,7.172921,15874912673.324192,11472699887.927828,6.241754,2.985547,75.084443,23.811557,5.727485,2,2.863743,0.057055,46.538232,106.538232,46.267783,40.227018,-18.433740,1.679769,5.000000,2.500000,0.330883,8000,20000,1.051881,1.055896,1.077961,715.816834,933.309129,1033.742405,3504928810,acceptable,GoE-baseline,student_t,24.150783
F568-3,8,60.200000,46651735744.320023,35182892465.822777,35.546461,12.755780,6086372554.677685,1697283447.124299,3.522992,0.499631,54.689966,30.611609,15.807957,3,5.269319,0.001242,55.356688,85.356688,55.753896,43.924219,-20.455819,1.506290,5.000000,2.500000,0.373684,8000,20000,1.014962,1.027172,1.034506,1355.779092,1541.413189,2298.983788,2679295458,poor,GoE·cos²i(i=70°),student_t,24.261394
NGC3198,9,150.100000,49030470921.645752,61532057165.673645,13.979015,13.327783,11872402365.576080,7682540970.476620,3.014799,1.454227,5.598242,23.660044,27.311841,4,6.827960,0.000017,65.389947,85.389947,66.376070,60.880591,-24.029011,6.411285,5.000000,2.500000,0.213062,8000,20000,1.212752,1.299002,1.498205,301.194627,352.659454,435.968575,2950754278,poor,GoE·cos²i(i=72°),student_t,24.893645
IC2574,9,74.500000,26933747011.951206,17800573537.238609,24.742002,16.294541,5271422096.394236,2409690846.572386,3.078771,0.721085,63.645402,26.544084,36.803406,4,9.200852,0.000000,69.699740,89.699740,70.685863,51.545490,-23.672752,2.099993,5.000000,2.500000,0.325156,8000,20000,1.061899,1.076615,1.293645,1018.338388,1291.666961,1323.832572,2628705519,poor,GoE-baseline,student_t,23.469368
UGC5005,8,55.200000,59052784865.286957,63062739169.028992,38.074801,13.397836,3189797329.724610,1063202330.062572,2.223617,0.389843,40.012716,32.670862,28.448005,3,9.482668,0.000003,61.126939,91.126939,61.524146,46.827714,-21.009101,2.404756,5.000000,2.500000,0.326414,8000,20000,1.047069,1.058997,1.766813,907.498960,1186.179748,1419.938180,2984109804,poor,GoE·cos²i(i=75°),student_t,23.615481
NGC2841,8,280.500000,562394739544.263916,280138743762.912109,18.790535,3.578582,77412423971.977570,29417660667.081978,3.223444,0.627639,28.286775,36.011481,28.800270,3,9.600090,0.000002,70.832695,100.832695,71.229903,57.477860,-24.353977,4.384953,5.000000,2.500000,0.249637,8000,20000,1.224784,1.338145,1.584543,317.791664,397.413136,614.163953,2933517037,poor,GoE·cos²i(i=74°),student_t,25.745552
NGC6946,10,215.300000,115204389596.726349,87945849195.813797,9.716955,4.307814,19921719394.874870,14957661699.153238,2.467191,1.968167,37.425893,29.500914,53.892298,5,10.778460,0.000000,84.993490,99.993490,86.506415,61.905237,-27.767038,3.185581,5.000000,2.500000,0.282844,8000,20000,1.367628,1.425059,1.777096,442.088007,586.646569,605.279146,3000953582,poor,"GoE-Δsat(ρc=1.0e+08,n=0.8)",student_t,29.126758
NGC2403,10,128.500000,81307026768.079681,55648725525.192230,27.525252,15.320364,16604862926.446999,7041764824.384672,4.346688,0.817093,20.939939,22.646618,58.719571,5,11.743914,0.000000,80.140535,95.140535,81.653460,56.930470,-25.795892,2.669343,5.000000,2.500000,0.218266,8000,20000,1.127646,1.213596,3.220371,450.622539,609.164440,790.704250,2933647081,poor,GoE·cos²i(i=63°),student_t,24.343506
NGC7793,10,122.500000,31953997690.372032,29756751272.042877,10.289142,15.462927,6419451800.221810,5597131842.085581,3.028752,4.501135,27.288711,25.533023,92.604843,5,18.520969,0.000000,85.193368,100.193368,86.706294,57.590272,-25.947755,2.847381,5.000000,2.500000,0.201668,8000,20000,1.196760,1.257990,1.544796,391.179722,437.495206,512.244251,3017535468,poor,"GoE-2Rθ(η=0.8,×2.0)",student_t,24.981638
NGC1560,8,85.200000,64195467947.373398,58249675980.831909,30.744099,15.018239,9647456358.296167,3867801291.043264,3.620552,0.813040,18.133445,34.456638,174.189178,3,58.063059,0.000000,100.958252,130.958252,101.355460,49.301878,-21.250414,3.400525,5.000000,2.500000,0.249926,8000,20000,1.071637,1.110645,1.208146,420.233563,536.246098,804.400859,2916674794,poor,GoE·cos²i(i=83°),student_t,23.461313
