galaxy,fit_quality,chi2_red,chi2,dof,p_value,AIC,BIC,n_data,v_flat_observed,r_max_observed,acceptance_rate,n_effective_samples,total_steps,elapsed_sec,M_disk_1e10Msun,M_disk_err_1e10Msun,R_disk_kpc,R_disk_err_kpc,M_bulge_1e10Msun,M_bulge_err_1e10Msun,R_bulge_kpc,R_bulge_err_kpc,R_theta_kpc,R_theta_err_kpc
NGC2841,excellent,0.141460,0.424380,3,0.935161,10.424380,10.821588,8,280.800000,35.000000,0.462172,48000,2000,7.254450,33.655787,10.299800,13.876403,3.112596,6.631610,2.256652,2.864629,0.459092,69.378558,22.640369
NGC3198,excellent,0.292272,1.169089,4,0.883161,11.169089,12.155212,9,150.100000,30.000000,0.452125,48000,2000,5.493394,7.319761,2.745292,9.252566,2.069434,1.119627,0.357689,1.812713,0.251479,52.110384,23.321227
NGC2403,excellent,0.459082,2.295409,5,0.806941,12.295409,13.808335,10,130.200000,25.000000,0.397172,48000,2000,5.803807,6.191736,2.452027,12.404611,3.498832,1.166396,0.485061,3.218520,0.526986,55.420177,23.781997
NGC6946,excellent,0.463465,2.317324,5,0.803719,12.317324,13.830250,10,216.800000,30.000000,0.416547,48000,2000,6.499976,12.881788,7.120666,9.536715,2.641687,1.964334,0.888085,2.167148,0.340810,41.948495,23.878515
NGC7793,excellent,0.557536,2.787679,5,0.732679,12.787679,14.300605,10,124.200000,25.000000,0.360969,48000,2000,7.149949,3.654702,2.028902,8.898012,2.213411,0.556761,0.242012,2.206531,0.396608,34.692456,20.314396
IC2574,excellent,0.965132,3.860527,4,0.425210,13.860527,14.846650,9,75.200000,25.000000,0.269266,48000,2000,5.560916,0.157206,0.080738,6.243194,15.397985,0.031525,0.029539,23.950872,16.675601,4.842923,2.485342
NGC1560,good,1.063129,3.189388,3,0.363337,13.189388,13.586595,8,85.300000,25.000000,0.419172,48000,2000,5.955789,2.278908,0.902555,9.046499,2.898690,0.425330,0.226388,2.265329,0.493627,53.221251,26.486252
Malin1,good,1.935195,3.870390,2,0.144396,13.870390,13.599940,7,120.300000,50.000000,0.315062,48000,2000,4.545791,6.229484,2.154905,15.652154,7.235768,1.616379,1.127020,6.166486,4.872526,72.401552,24.465658
DDO154,acceptable,2.059288,8.237152,4,0.083267,18.237152,19.223275,9,44.100000,23.000000,0.372500,48000,2000,5.635677,1.114169,0.662150,30.152643,15.950118,0.250901,0.060214,2.664184,0.400234,72.574266,21.467869
DDO43,poor,4.858527,14.575582,3,0.002218,24.575582,24.972790,8,30.200000,12.000000,0.261734,48000,2000,4.337094,0.863775,0.964330,29.273926,21.161216,0.066502,0.029366,1.797826,7.030018,71.169067,31.961281
F568-3,poor,4.875467,14.626402,3,0.002165,24.626402,25.023610,8,60.300000,25.000000,0.363766,48000,2000,4.867784,1.922430,1.176074,29.268829,15.514786,0.501518,0.114666,3.270784,0.392518,73.434377,20.794412
UGC5005,poor,11.168588,33.505764,3,0.000000,43.505764,43.902972,8,55.300000,18.000000,0.329453,48000,2000,4.665962,1.458407,1.520543,27.355469,17.706939,0.249107,0.062722,1.961162,0.287207,60.850174,25.502392
